Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
Asiana Grand Hotel,yes,no,yes,no,no,no,no,Continental,,
"Courtyard by Marriott World Trade Centre, Dubai",no,no,no,no,no,no,no,Continental,Vegetarian,Asian
Grey Sky Homes,no,no,yes,no,yes,no,no,,,
Resivation Hotel,yes,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
IntercityHotel Dubai Jaddaf Waterfront,no,no,yes,no,no,no,no,Continental,Gluten-free,Buffet
Queen Elizabeth 2 Hotel,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",no,yes,yes,yes,no,no,no,Continental,Vegetarian,
Studio M Al Barsha Hotel by Millennium,yes,no,yes,no,no,no,no,Continental,,
Radisson Dubai Damac Hills,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
Ibis Al Rigga,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"Leva Hotel and Suites, Opposite Downtown",yes,no,no,no,no,yes,no,Continental,Halal,American
Ibis Styles Dragon Mart Dubai,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
Howard Johnson Plaza by Wyndham Dubai Deira,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
ibis Styles Dubai Airport Hotel,no,no,yes,no,no,no,yes,Continental,Vegetarian,Vegan
"Holiday Inn Express Dubai Airport, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Italian,Vegetarian
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel",no,no,no,no,no,no,yes,,,
Grand Excelsior Hotel - Bur Dubai,no,yes,yes,no,no,no,yes,Continental,Asian,
"Mercure Gold Hotel, Jumeirah, Dubai",no,no,yes,no,no,no,no,Continental,Vegetarian,Asian
Fortune Park Hotel,no,no,yes,no,yes,no,no,Continental,Full English/Irish,Halal
Ibis Al Barsha,yes,no,yes,no,yes,no,no,Continental,Full English/Irish,American
Millennium Place Barsha Heights Hotel,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
Al Khoory Courtyard Hotel,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
Flora Inn Hotel Dubai Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Metropolitan Hotel Dubai,no,no,yes,no,no,no,no,Continental,Italian,Vegetarian
Millennium Airport Hotel Dubai,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Delta Hotels by Marriott Dubai Investment Park,no,no,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Signature Inn Hotel - Free Parking,no,yes,yes,no,no,no,no,,,
"Lemon Tree Hotel, Jumeirah Dubai",no,no,no,no,no,no,no,Continental,Vegetarian,Halal
City Seasons Hotel Dubai,yes,yes,no,no,no,no,yes,Continental,Vegetarian,Halal
Novotel Jumeirah Village Triangle,no,yes,yes,no,no,no,no,Continental,Vegetarian,Vegan
RAF Hotel Apartments,yes,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Ibis One Central - World Trade Centre Dubai,yes,no,yes,no,no,no,no,Continental,Vegetarian,Halal
La Quinta by Wyndham Dubai Jumeirah,no,no,no,no,yes,no,yes,Vegetarian,Vegan,American
"Holiday Inn & Suites - Dubai Science Park, an IHG Hotel",no,yes,yes,no,yes,no,no,Continental,,
"Leva Hotel and Suites, Opposite Downtown",yes,no,no,no,no,yes,no,Continental,Halal,American
Rove Expo 2020,no,no,no,no,no,no,no,Continental,,
OSTAY - Address Dubai Mall -The residence,no,no,yes,no,no,no,no,Continental,Italian,Vegan
Novotel Suites Dubai Mall of the Emirates,no,yes,yes,no,no,no,no,Continental,,
Radisson RED Dubai Silicon Oasis,no,no,no,no,yes,no,no,Full English/Irish,Vegetarian,Vegan
Grandeur Hotel Al Barsha,no,no,yes,no,yes,no,no,Continental,,
Citymax Hotel Business Bay,no,no,yes,no,yes,no,no,Continental,Halal,American
Ramada by Wyndham Dubai Deira,no,no,yes,no,no,yes,no,Full English/Irish,Halal,American
Ibis Styles Dubai Jumeira,no,no,yes,no,no,no,no,Continental,,
"Four Points by Sheraton Production City, Dubai",no,no,yes,no,no,no,yes,Continental,Full English/Irish,Halal
Jacob's Garden Hotel,yes,no,no,no,no,no,yes,Continental,Vegetarian,Asian
ROYAL CONCORDE HOTEL&SUITE,no,yes,yes,no,no,no,no,Continental,,
Asiana Grand Hotel,yes,no,yes,no,no,no,no,Continental,,
SO Uptown Dubai,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Le Paradise Palace,no,no,yes,yes,no,no,no,Continental,Halal,Asian
Dusit D2 Kenz Hotel Dubai,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
"voco Dubai, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"Radisson Blu Hotel, Dubai Deira Creek",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Signature Inn Hotel - Free Parking,no,yes,yes,no,no,no,no,,,
"Lemon Tree Hotel, Jumeirah Dubai",no,no,no,no,no,no,no,Continental,Vegetarian,Halal
City Seasons Hotel Dubai,yes,yes,no,no,no,no,yes,Continental,Vegetarian,Halal
Novotel Jumeirah Village Triangle,no,yes,yes,no,no,no,no,Continental,Vegetarian,Vegan
RAF Hotel Apartments,yes,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Ibis One Central - World Trade Centre Dubai,yes,no,yes,no,no,no,no,Continental,Vegetarian,Halal
La Quinta by Wyndham Dubai Jumeirah,no,no,no,no,yes,no,yes,Vegetarian,Vegan,American
"Holiday Inn & Suites - Dubai Science Park, an IHG Hotel",no,yes,yes,no,yes,no,no,Continental,,
"Leva Hotel and Suites, Opposite Downtown",yes,no,no,no,no,yes,no,Continental,Halal,American
Rove Expo 2020,no,no,no,no,no,no,no,Continental,,
OSTAY - Address Dubai Mall -The residence,no,no,yes,no,no,no,no,Continental,Italian,Vegan
Novotel Suites Dubai Mall of the Emirates,no,yes,yes,no,no,no,no,Continental,,
Radisson RED Dubai Silicon Oasis,no,no,no,no,yes,no,no,Full English/Irish,Vegetarian,Vegan
Grandeur Hotel Al Barsha,no,no,yes,no,yes,no,no,Continental,,
Citymax Hotel Business Bay,no,no,yes,no,yes,no,no,Continental,Halal,American
Ramada by Wyndham Dubai Deira,no,no,yes,no,no,yes,no,Full English/Irish,Halal,American
Ibis Styles Dubai Jumeira,no,no,yes,no,no,no,no,Continental,,
"Four Points by Sheraton Production City, Dubai",no,no,yes,no,no,no,yes,Continental,Full English/Irish,Halal
Jacob's Garden Hotel,yes,no,no,no,no,no,yes,Continental,Vegetarian,Asian
ROYAL CONCORDE HOTEL&SUITE,no,yes,yes,no,no,no,no,Continental,,
Asiana Grand Hotel,yes,no,yes,no,no,no,no,Continental,,
SO Uptown Dubai,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Le Paradise Palace,no,no,yes,yes,no,no,no,Continental,Halal,Asian
Dusit D2 Kenz Hotel Dubai,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
"voco Dubai, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
