Hotel Name,Room Type,Single Bed,Double Bed,Price
Asiana Grand Hotel,Superior Deluxe – Beach transfer & Free Shuttle to Deira city center mall,No,Yes,"₹ 9,560"
Sonder Business Bay,Standard Apartment,No,Yes,"₹ 19,717"
Grey Sky Homes,Deluxe Double Room,No,Yes,"₹ 11,647"
"Holiday Inn Express Dubai Airport, an IHG Hotel","Double Room - Smoking (Free Shuttle Bus to Airport Terminal 1&3, Al Mamzar Beach, DFC Mall, Dubai Mall))",No,Yes,"₹ 7,297"
Queen Elizabeth 2 Hotel,Classic King Room,No,Yes,"₹ 8,182"
IntercityHotel Dubai Jaddaf Waterfront,Superior Room Canal View Twin (Includes 15% Off F&B and Shuttle Service to Festival City Mall),Yes,No,"₹ 8,577"
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",Guest Room – King Bed,No,Yes,"₹ 5,756"
Howard Johnson Plaza by Wyndham Dubai Deira,Deluxe King Room - Non-Smoking,No,Yes,"₹ 5,975"
Studio M Al Barsha Hotel by Millennium,Urban King Room with 20% Discount on SPA,No,Yes,"₹ 7,719"
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",Twin Heritage Room,Yes,No,"₹ 10,641"
Howard Johnson Bur Dubai,Standard Room,No,Yes,"₹ 5,883"
La Quinta by Wyndham Dubai Jumeirah,"Economy Room, 1 King Bed - Complimentary Transfer to La Mer Beach, Dubai Mall / Burj Khalifa Metro Station",No,Yes,"₹ 10,059"
Ibis Al Rigga,Standard Double Room,No,Yes,"₹ 7,208"
Premier Inn Dubai International Airport,Double Room - Free DXB Airport Shuttle Every 30 mins to T3 & T1,No,Yes,"₹ 6,099"
Hampton By Hilton Dubai Airport,"Queen Room Smoking with Free Breakfast and Complimentary Shuttle services to DXB Airport T1/T3, Mamzar Beach, Deira City Centre and DAFZA",No,Yes,"₹ 6,979"
Ramada by Wyndham Dubai Deira,"Queen Room - Non-Smoking, 20% off F&B",No,Yes,"₹ 7,524"
"Holiday Inn Express Dubai, Jumeirah, an IHG Hotel",Double Room with Sofa Bed - Smoking,No,Yes,"₹ 8,969"
Ibis Styles Dragon Mart Dubai,Standard Twin Room,Yes,No,"₹ 6,649"
Ibis Mall Of The Emirates,Standard Double Room,No,Yes,"₹ 7,338"
CITY PALACE HOTEL,Standard Double Room,No,Yes,"₹ 4,739"
